시도별(17개),규모별,산업분류별,시점,부족률[%]
서울특별시,1규모(5~9인),C 제 조 업(10-33),2009. 1/2,5.4
서울특별시,1규모(5~9인),C 제 조 업(10-33),2009. 2/2,6.6
서울특별시,1규모(5~9인),C 제 조 업(10-33),2010. 1/2,8.7
서울특별시,1규모(5~9인),C 제 조 업(10-33),2010. 2/2,6.2
서울특별시,1규모(5~9인),C 제 조 업(10-33),2011. 1/2,7
서울특별시,1규모(5~9인),C 제 조 업(10-33),2011. 2/2,5.4
서울특별시,1규모(5~9인),C 제 조 업(10-33),2012. 1/2,3.4
서울특별시,1규모(5~9인),C 제 조 업(10-33),2012. 2/2,5.3
서울특별시,1규모(5~9인),C 제 조 업(10-33),2013. 1/2,7.2
서울특별시,1규모(5~9인),C 제 조 업(10-33),2013. 2/2,3.7
서울특별시,1규모(5~9인),C 제 조 업(10-33),2014. 1/2,3.3
서울특별시,1규모(5~9인),C 제 조 업(10-33),2014. 2/2,5.6
서울특별시,1규모(5~9인),C 제 조 업(10-33),2015. 1/2,4.1
서울특별시,1규모(5~9인),C 제 조 업(10-33),2015. 2/2,4.3
서울특별시,1규모(5~9인),C 제 조 업(10-33),2016. 1/2,4.1
서울특별시,1규모(5~9인),C 제 조 업(10-33),2016. 2/2,3.8
서울특별시,1규모(5~9인),C 제 조 업(10-33),2017. 1/2,6.2
서울특별시,1규모(5~9인),C 제 조 업(10-33),2017. 2/2,3.8
서울특별시,1규모(5~9인),"D 전기, 가스, 증기 및 수도사업(35-36)",2009. 1/2,0
서울특별시,1규모(5~9인),"D 전기, 가스, 증기 및 수도사업(35-36)",2009. 2/2,0
서울특별시,1규모(5~9인),"D 전기, 가스, 증기 및 수도사업(35-36)",2010. 1/2,5.9
서울특별시,1규모(5~9인),"D 전기, 가스, 증기 및 수도사업(35-36)",2010. 2/2,0
서울특별시,1규모(5~9인),"D 전기, 가스, 증기 및 수도사업(35-36)",2011. 1/2,1.7
