시도별(17개),규모별,산업분류별,시점,부족률[%]
서울특별시,5인이상,C.제조업(10~34),2021. 1/2,2.6
서울특별시,5인이상,C.제조업(10~34),2021. 2/2,3.7
서울특별시,5인이상,C.제조업(10~34),2022. 1/2,3
서울특별시,5인이상,C.제조업(10~34),2022. 2/2,2.7
서울특별시,5인이상,C.제조업(10~34),2023. 1/2,2.6
서울특별시,5인이상,C.제조업(10~34),2023. 2/2,2.9
서울특별시,5인이상,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 1/2,0.6
서울특별시,5인이상,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2021. 2/2,0.6
서울특별시,5인이상,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 1/2,0.6
서울특별시,5인이상,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2022. 2/2,0.8
서울특별시,5인이상,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 1/2,0.5
서울특별시,5인이상,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2023. 2/2,0.5
서울특별시,5인이상,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 1/2,0.6
서울특별시,5인이상,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2021. 2/2,1
서울특별시,5인이상,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 1/2,1.2
서울특별시,5인이상,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2022. 2/2,1.5
서울특별시,5인이상,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2023. 1/2,1.1
서울특별시,5인이상,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2023. 2/2,1.2
서울특별시,5인이상,F.건설업(41~42),2021. 1/2,0.9
서울특별시,5인이상,F.건설업(41~42),2021. 2/2,1.3
서울특별시,5인이상,F.건설업(41~42),2022. 1/2,1.5
서울특별시,5인이상,F.건설업(41~42),2022. 2/2,1.8
서울특별시,5인이상,F.건설업(41~42),2023. 1/2,1.4
서울특별시,5인이상,F.건설업(41~42),2023. 2/2,2.2
서울특별시,5인이상,G.도매 및 소매업(45~47),2021. 1/2,2.3
서울특별시,5인이상,G.도매 및 소매업(45~47),2021. 2/2,3.1
서울특별시,5인이상,G.도매 및 소매업(45~47),2022. 1/2,3.2
서울특별시,5인이상,G.도매 및 소매업(45~47),2022. 2/2,3
서울특별시,5인이상,G.도매 및 소매업(45~47),2023. 1/2,2.8
서울특별시,5인이상,G.도매 및 소매업(45~47),2023. 2/2,2.9
서울특별시,5인이상,H.운수 및 창고업(49~52),2021. 1/2,8.9
서울특별시,5인이상,H.운수 및 창고업(49~52),2021. 2/2,10.2
서울특별시,5인이상,H.운수 및 창고업(49~52),2022. 1/2,9.4
서울특별시,5인이상,H.운수 및 창고업(49~52),2022. 2/2,9.6
서울특별시,5인이상,H.운수 및 창고업(49~52),2023. 1/2,10.9
서울특별시,5인이상,H.운수 및 창고업(49~52),2023. 2/2,7.8
서울특별시,5인이상,I.숙박 및 음식점업(55~56),2021. 1/2,2.2
서울특별시,5인이상,I.숙박 및 음식점업(55~56),2021. 2/2,5.3
서울특별시,5인이상,I.숙박 및 음식점업(55~56),2022. 1/2,5.4
서울특별시,5인이상,I.숙박 및 음식점업(55~56),2022. 2/2,6.3
서울특별시,5인이상,I.숙박 및 음식점업(55~56),2023. 1/2,5.4
서울특별시,5인이상,I.숙박 및 음식점업(55~56),2023. 2/2,5.1
서울특별시,5인이상,J.정보통신업(58~63),2021. 1/2,3.6
