,100,350,370,410,450,490,550,580,640,680,700,740,850,860,900,940
Average Labor Shortage Rate,3.087,0.513,1.9,1.944,2.573,5.039,4.735,3.297,1.039,1.003,2.145,2.252,1.297,2.337,2.238,2.558
,[0.711],[0.233],[0.255],[0.361],[0.346],[0.851],[1.044],[0.632],[0.190],[0.240],[0.365],[0.501],[0.172],[0.251],[0.321],[0.424]
Size of Firm,,,,,,,,,,,,,,,,
5 ~ 9 Employees,5.688,0.819,3.089,2.512,3.297,1.919,5.074,5.82,0.937,1.173,3.124,3.184,2.996,2.824,3.143,3.423
,[2.377],[2.241],[2.293],[1.639],[1.633],[1.809],[2.448],[3.333],[1.116],[1.438],[1.665],[2.508],[1.706],[1.348],[2.752],[1.909]
10 ~ 29 Employees,4.21,0.894,1.967,1.778,2.265,4.021,4.47,3.338,0.65,0.809,2.194,2.658,1.539,2.224,2.252,2.449
,[1.619],[1.474],[1.429],[1.014],[1.018],[4.269],[2.194],[1.792],[0.670],[1.251],[1.097],[1.926],[1.190],[1.034],[1.849],[1.401]
30 ~ 99 Employees,2.978,0.591,1.118,1.456,1.676,7.075,3.985,1.666,0.82,1.235,1.763,1.92,0.548,2.39,1.697,1.57
,[1.326],[0.930],[1.076],[1.264],[1.122],[4.393],[2.597],[1.769],[0.917],[2.170],[1.117],[1.332],[0.775],[1.002],[1.187],[1.276]
100 ~ 299 Employees,1.795,0.415,0.271,1.139,1.129,3.579,2.454,1.084,0.849,0.639,1.722,1.75,0.884,2.382,1.137,0.79
,[1.137],[0.949],[1.058],[1.745],[0.989],[2.925],[2.410],[1.464],[2.165],[1.530],[1.750],[1.396],[2.148],[1.244],[1.602],[1.586]
More or Equal to 300 Employees,0.71,0.268,0.0278,0.464,0.452,1.34,1.024,0.954,0.486,0.536,0.985,1.547,0.863,1.814,0.701,0.48
,[0.726],[0.918],[0.243],[1.233],[0.935],[1.869],[2.856],[1.821],[1.440],[1.288],[1.214],[1.749],[1.715],[1.411],[2.059],[1.662]
Region of Firm Location,,,,,,,,,,,,,,,,
Capital Area,3.144,0.707,1.313,1.651,2.441,4.934,3.752,3.882,1.190,0.995,2.553,2.828,1.325,2.429,2.230,2.253
,[1.981],[0.888],[1.675],[1.178],[1.153],[4.241],[2.295],[2.300],[1.199],[0.751],[1.344],[1.883],[1.091],[1.042],[1.975],[1.528]
Metropolitan City,2.690,0.544,1.150,1.453,1.466,3.580,2.920,2.356,0.735,0.681,1.764,1.869,1.198,1.853,1.430,1.573
,[2.211],[1.632],[1.756],[1.609],[1.345],[4.420],[2.754],[2.748],[1.163],[1.243],[1.521],[1.703],[1.527],[1.151],[1.786],[1.954]
Other Provinces,3.414,0.617,1.417,1.438,1.859,3.239,3.753,2.426,0.645,1.030,1.979,2.365,1.531,2.737,1.998,1.764
,[2.470],[1.315],[1.834],[1.598],[1.678],[2.927],[3.121],[2.911],[1.557],[1.980],[1.611],[2.075],[2.147],[1.259],[2.409],[1.948]
