
="",="(1)"
="",=""

="1",=""
="2018",="4762"
="",=""

="2019",="4768"
="",=""

="2020",="4687"
="",=""

="2021",="4272"
="",=""

="2022",="4309"
="",=""

="2023",="4105"
="",=""

="Total",="26903"
="",=""

="2",=""
="2018",="0"
="",=""

="2019",="58"
="",=""

="2020",="136"
="",=""

="2021",="216"
="",=""

="2022",="298"
="",=""

="2023",="415"
="",=""

="Total",="1123"
="",=""

="3",=""
="2018",="0"
="",=""

="2019",="58"
="",=""

="2020",="68"
="",=""

="2021",="74"
="",=""

="2022",="87"
="",=""

="2023",="98"
="",=""

="Total",="385"
="",=""

="Total",=""
="2018",="4762"
="",=""

="2019",="4884"
="",=""

="2020",="4891"
="",=""

="2021",="4562"
="",=""

="2022",="4694"
="",=""

="2023",="4618"
="",=""

="Total",="28411"
="",=""

="N",="28411"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
