
="",="(1)",="(2)",="(3)",="(4)"
="",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction"

="Overtime Worker (=1 for Weekly Overtime working)=1 # Working Hours (Per a Week)",="",="",="-0.0027**",="-0.0019*"
="",="",="",="(0.0009)",="(0.0009)"

="Working Hours (Per a Week)",="-0.0068***",="0.0522***",="-0.0012",="0.0546***"
="",="(0.0020)",="(0.0081)",="(0.0027)",="(0.0080)"

="Working Hours (Per a Week) # Working Hours (Per a Week)",="",="-0.0006***",="",="-0.0006***"
="",="",="(0.0001)",="",="(0.0001)"

="Wage rate (Per a Hour, 1000 Won)",="0.0489***",="0.0513***",="0.0485***",="0.0510***"
="",="(0.0046)",="(0.0044)",="(0.0046)",="(0.0043)"

="Age",="0.0062",="0.0042",="0.0049",="0.0034"
="",="(0.0055)",="(0.0054)",="(0.0054)",="(0.0054)"

="Years of Education",="-0.1000",="-0.1114",="-0.1012",="-0.1118"
="",="(0.0575)",="(0.0578)",="(0.0575)",="(0.0579)"

="Number of Household Members",="-0.0679**",="-0.0686**",="-0.0682**",="-0.0689**"
="",="(0.0243)",="(0.0243)",="(0.0243)",="(0.0243)"

="Marital Status (=1 for having a spouse)",="0.1349",="0.1419*",="0.1356",="0.1422*"
="",="(0.0703)",="(0.0700)",="(0.0703)",="(0.0700)"

="Monthly Income of Household (Except Labor Income)",="0.0002",="0.0002",="0.0002",="0.0002"
="",="(0.0002)",="(0.0002)",="(0.0002)",="(0.0002)"

="Temporary Contract",="-0.1458***",="-0.1340***",="-0.1443***",="-0.1331***"
="",="(0.0388)",="(0.0388)",="(0.0389)",="(0.0388)"

="Atypical Contract",="-0.3117***",="-0.2866***",="-0.3076***",="-0.2841***"
="",="(0.0547)",="(0.0546)",="(0.0547)",="(0.0546)"

="Paid Vacation Offerance",="0.2979***",="0.2773***",="0.2914***",="0.2732***"
="",="(0.0334)",="(0.0334)",="(0.0335)",="(0.0335)"

="Public employee (=1 for Public Worker)",="0.3114***",="0.3145***",="0.3080***",="0.3120***"
="",="(0.0788)",="(0.0788)",="(0.0789)",="(0.0789)"

="Year of Tenure",="-0.0076",="-0.0091",="-0.0077",="-0.0091"
="",="(0.0047)",="(0.0047)",="(0.0047)",="(0.0047)"

="Observations",="658624",="658624",="658624",="658624"
="N_true",="5.0e+04",="5.0e+04",="5.0e+04",="5.0e+04"
="N_group",="9.4e+03",="9.4e+03",="9.4e+03",="9.4e+03"
="r2_p",="0.6249",="0.6259",="0.6250",="0.6259"
="ll",="-1.0e+05",="-1.0e+05",="-1.0e+05",="-1.0e+05"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
