
="",="(1)",="(2)",="(3)",="(4)"
="",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction"

="Average Working Hours (Per a day)",="-0.0447***",="0.0658",="0.1095**",="-0.0496***"
="",="(0.0104)",="(0.0353)",="(0.0345)",="(0.0104)"

="Average Working Hours (Per a day) # Average Working Hours (Per a day)",="",="-0.0058***",="-0.0078***",=""
="",="",="(0.0017)",="(0.0017)",=""

="Working Days (Per a Week)",="0.0026",="0.7158***",="0.0049",="0.7968***"
="",="(0.0218)",="(0.1190)",="(0.0217)",="(0.1165)"

="Working Days (Per a Week) # Working Days (Per a Week)",="",="-0.0687***",="",="-0.0767***"
="",="",="(0.0112)",="",="(0.0110)"

="Wage rate (Per a Hour, 1000 Won)",="0.0489***",="0.0499***",="0.0504***",="0.0488***"
="",="(0.0047)",="(0.0045)",="(0.0045)",="(0.0046)"

="Age",="0.0082",="0.0060",="0.0075",="0.0063"
="",="(0.0055)",="(0.0054)",="(0.0054)",="(0.0055)"

="Years of Education",="-0.1019",="-0.1094",="-0.1071",="-0.1059"
="",="(0.0578)",="(0.0581)",="(0.0577)",="(0.0582)"

="Number of Household Members",="-0.0650**",="-0.0658**",="-0.0652**",="-0.0657**"
="",="(0.0243)",="(0.0243)",="(0.0243)",="(0.0243)"

="Marital Status (=1 for having a spouse)",="0.1324",="0.1360",="0.1376",="0.1318"
="",="(0.0704)",="(0.0704)",="(0.0704)",="(0.0704)"

="Monthly Income of Household (Except Labor Income)",="0.0002",="0.0002",="0.0002",="0.0002"
="",="(0.0002)",="(0.0002)",="(0.0002)",="(0.0002)"

="Temporary Contract",="-0.1412***",="-0.1340***",="-0.1341***",="-0.1389***"
="",="(0.0388)",="(0.0388)",="(0.0388)",="(0.0388)"

="Atypical Contract",="-0.2961***",="-0.2665***",="-0.2879***",="-0.2698***"
="",="(0.0548)",="(0.0549)",="(0.0548)",="(0.0550)"

="Paid Vacation Offerance",="0.3011***",="0.2875***",="0.2940***",="0.2920***"
="",="(0.0334)",="(0.0333)",="(0.0334)",="(0.0333)"

="Public employee (=1 for Public Worker)",="0.3132***",="0.3093***",="0.3134***",="0.3087***"
="",="(0.0783)",="(0.0785)",="(0.0781)",="(0.0788)"

="Year of Tenure",="-0.0077",="-0.0087",="-0.0087",="-0.0079"
="",="(0.0047)",="(0.0047)",="(0.0047)",="(0.0047)"

="Observations",="658624",="658624",="658624",="658624"
="N_true",="5.0e+04",="5.0e+04",="5.0e+04",="5.0e+04"
="N_group",="9.4e+03",="9.4e+03",="9.4e+03",="9.4e+03"
="r2_p",="0.6247",="0.6254",="0.6249",="0.6252"
="ll",="-1.0e+05",="-1.0e+05",="-1.0e+05",="-1.0e+05"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
