
="",="(1)",="(2)",="(3)",="(4)"
="",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction"

="Overtime Worker (=1 for Weekly Overtime working)=1 # Average Working Hours (Per a day)",="-0.0324*",="0.0053",="-0.0795***",="-0.0700***"
="",="(0.0153)",="(0.0166)",="(0.0169)",="(0.0207)"

="Overtime Worker (=1 for Weekly Overtime working)=1 # Working Days (Per a Week)",="0.0171",="-0.0363",="0.1150***",="0.0999**"
="",="(0.0230)",="(0.0248)",="(0.0269)",="(0.0334)"

="Average Working Hours (Per a day)",="0.0004",="0.1241***",="0.0154",="0.0374"
="",="(0.0174)",="(0.0346)",="(0.0175)",="(0.0369)"

="Average Working Hours (Per a day) # Average Working Hours (Per a day)",="",="-0.0078***",="",="-0.0014"
="",="",="(0.0018)",="",="(0.0020)"

="Working Days (Per a Week)",="0.0639",="0.0894**",="0.9513***",="0.9072***"
="",="(0.0329)",="(0.0332)",="(0.1269)",="(0.1446)"

="Working Days (Per a Week) # Working Days (Per a Week)",="",="",="-0.0970***",="-0.0916***"
="",="",="",="(0.0133)",="(0.0156)"

="Wage rate (Per a Hour, 1000 Won)",="0.0490***",="0.0502***",="0.0498***",="0.0500***"
="",="(0.0045)",="(0.0045)",="(0.0045)",="(0.0045)"

="Age",="0.0063",="0.0056",="0.0051",="0.0050"
="",="(0.0054)",="(0.0054)",="(0.0054)",="(0.0054)"

="Years of Education",="-0.1060",="-0.1083",="-0.1130",="-0.1130"
="",="(0.0581)",="(0.0580)",="(0.0585)",="(0.0585)"

="Number of Household Members",="-0.0689**",="-0.0691**",="-0.0694**",="-0.0694**"
="",="(0.0243)",="(0.0243)",="(0.0243)",="(0.0243)"

="Marital Status (=1 for having a spouse)",="0.1377*",="0.1409*",="0.1397*",="0.1402*"
="",="(0.0701)",="(0.0701)",="(0.0701)",="(0.0701)"

="Monthly Income of Household (Except Labor Income)",="0.0002",="0.0002",="0.0002",="0.0002"
="",="(0.0002)",="(0.0002)",="(0.0002)",="(0.0002)"

="Temporary Contract",="-0.1378***",="-0.1346***",="-0.1317***",="-0.1315***"
="",="(0.0389)",="(0.0389)",="(0.0390)",="(0.0390)"

="Atypical Contract",="-0.2889***",="-0.2795***",="-0.2672***",="-0.2667***"
="",="(0.0546)",="(0.0546)",="(0.0548)",="(0.0547)"

="Paid Vacation Offerance",="0.2885***",="0.2858***",="0.2781***",="0.2782***"
="",="(0.0335)",="(0.0335)",="(0.0334)",="(0.0334)"

="Public employee (=1 for Public Worker)",="0.3055***",="0.3060***",="0.3048***",="0.3049***"
="",="(0.0786)",="(0.0787)",="(0.0790)",="(0.0789)"

="Year of Tenure",="-0.0082",="-0.0088",="-0.0090",="-0.0091"
="",="(0.0047)",="(0.0047)",="(0.0047)",="(0.0047)"

="Observations",="658624",="658624",="658624",="658624"
="N_true",="5.0e+04",="5.0e+04",="5.0e+04",="5.0e+04"
="N_group",="9.4e+03",="9.4e+03",="9.4e+03",="9.4e+03"
="r2_p",="0.6252",="0.6254",="0.6258",="0.6258"
="ll",="-1.0e+05",="-1.0e+05",="-1.0e+05",="-1.0e+05"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
