
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction"
="",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction",="Job Satisfaction"

="Overtime Worker (=1 for Weekly Overtime working)=1 # Working Hours (Per a Week)",="-0.0049***",="-0.0020*",="-0.0020*",="-0.0020*",="-0.0019*"
="",="(0.0009)",="(0.0009)",="(0.0009)",="(0.0009)",="(0.0009)"

="Working Hours (Per a Week)",="0.0430***",="0.0555***",="0.0553***",="0.0549***",="0.0545***"
="",="(0.0076)",="(0.0080)",="(0.0080)",="(0.0080)",="(0.0080)"

="Working Hours (Per a Week) # Working Hours (Per a Week)",="-0.0006***",="-0.0006***",="-0.0006***",="-0.0006***",="-0.0006***"
="",="(0.0001)",="(0.0001)",="(0.0001)",="(0.0001)",="(0.0001)"

="Wage rate (Per a Hour, 1000 Won)",="",="0.0514***",="0.0514***",="0.0511***",="0.0507***"
="",="",="(0.0044)",="(0.0044)",="(0.0044)",="(0.0044)"

="Age",="",="0.0015",="0.0029",="0.0031",="0.0041"
="",="",="(0.0053)",="(0.0053)",="(0.0053)",="(0.0054)"

="Years of Education",="",="-0.0963",="-0.1100",="-0.1130*",="-0.1117"
="",="",="(0.0572)",="(0.0576)",="(0.0575)",="(0.0577)"

="Number of Household Members",="",="-0.0697**",="-0.0671**",="-0.0665**",="-0.0655**"
="",="",="(0.0242)",="(0.0242)",="(0.0242)",="(0.0242)"

="Marital Status (=1 for having a spouse)",="",="0.1299",="0.1372",="0.1392*",="0.1390*"
="",="",="(0.0700)",="(0.0703)",="(0.0703)",="(0.0702)"

="Monthly Income of Household (Except Labor Income)",="",="0.0002",="0.0002",="0.0002",="0.0002"
="",="",="(0.0002)",="(0.0002)",="(0.0002)",="(0.0002)"

="Temporary Contract",="",="-0.1254**",="-0.1303***",="-0.1292***",="-0.1315***"
="",="",="(0.0387)",="(0.0388)",="(0.0388)",="(0.0388)"

="Atypical Contract",="",="-0.2988***",="-0.2825***",="-0.2802***",="-0.2835***"
="",="",="(0.0546)",="(0.0547)",="(0.0546)",="(0.0548)"

="Paid Vacation Offerance",="",="0.2942***",="0.2888***",="0.2885***",="0.2753***"
="",="",="(0.0333)",="(0.0333)",="(0.0333)",="(0.0335)"

="Public employee (=1 for Public Worker)",="",="0.3358***",="0.3257***",="0.3273***",="0.3149***"
="",="",="(0.0780)",="(0.0783)",="(0.0783)",="(0.0784)"

="Year of Tenure",="",="-0.0074",="-0.0082",="-0.0083",="-0.0090"
="",="",="(0.0047)",="(0.0047)",="(0.0047)",="(0.0047)"

="Observations",="658624",="658624",="658624",="658624",="658624"
="N_true",="5.0e+04",="5.0e+04",="5.0e+04",="5.0e+04",="5.0e+04"
="N_group",="9.4e+03",="9.4e+03",="9.4e+03",="9.4e+03",="9.4e+03"
="r2_p",="0.6168",="0.6247",="0.6254",="0.6254",="0.6256"
="ll",="-1.1e+05",="-1.0e+05",="-1.0e+05",="-1.0e+05",="-1.0e+05"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
