
="",="(1)"
="",="Job Satisfaction"
="",="Job Satisfaction"

="Overtime Worker (=1 for Weekly Overtime working)=1 # Working Hours (Per a Week)",="-0.0019*"
="",="(0.0009)"

="Working Hours (Per a Week)",="0.0546***"
="",="(0.0080)"

="Working Hours (Per a Week) # Working Hours (Per a Week)",="-0.0006***"
="",="(0.0001)"

="Wage rate (Per a Hour, 1000 Won)",="0.0510***"
="",="(0.0043)"

="Age",="0.0034"
="",="(0.0054)"

="Years of Education",="-0.1118"
="",="(0.0579)"

="Number of Household Members",="-0.0689**"
="",="(0.0243)"

="Marital Status (=1 for having a spouse)",="0.1422*"
="",="(0.0700)"

="Monthly Income of Household (Except Labor Income)",="0.0002"
="",="(0.0002)"

="Temporary Contract",="-0.1331***"
="",="(0.0388)"

="Atypical Contract",="-0.2841***"
="",="(0.0546)"

="Paid Vacation Offerance",="0.2732***"
="",="(0.0335)"

="Public employee (=1 for Public Worker)",="0.3120***"
="",="(0.0789)"

="Year of Tenure",="-0.0091"
="",="(0.0047)"

="Observations",="658624"
="N_true",="5.0e+04"
="N_group",="9.4e+03"
="r2_p",="0.6259"
="ll",="-1.0e+05"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
